,Sr.No,PIC,Name of Dam,Operated & Maintained by,Latitude,Longitude,Year of Completion,River Basin,River,Neareast City,Seismic Zone,Dam Type,Height above Lowest Foundation Level,Dam Length,Volume Content of Dam,Gross Storage Capacity,Reservoir Area,Effective Storage Capacity,Purpose,Designed Spillway Capacity
109,108,AP01LH0110,"Peddayetivanka, Annupal",Andhra Pradesh Water Resources Department,"13° 28 ' 53""","79° 16 ' 42""",,East flowing rivers between Pennar and Cauvery Basin,Peddayetivanka,Puttur,III,Earthfill_Embankment ,12.11,235,0,370000,,311000,I,82
110,109,AP01LH0111,Peruru tank,Andhra Pradesh Water Resources Department,"14° 20 ' 10""","77° 21 ' 15""",,East flowing rivers between Pennar and Cauvery Basin,Ghataprabha,Chandragiri,III,Earthfill_Embankment ,10,2520,,1689000,809720,1684000,I,
111,110,AP01MH0112,Perval Project,Andhra Pradesh Water Resources Department,"16° 38 ' 9""","79° 0 ' 51""",,Krishna,Ghataprabha,devarkonda,II,Earthfill_Embankment ,15,,0,4278000,,3174000,I,
112,111,AP01LH0113,"Rallakalva, Kaliyambaka",Andhra Pradesh Water Resources Department,"13° 19 ' 18""","79° 44 ' 11""",,East flowing rivers between Pennar and Cauvery Basin,Rallakalva,Chittoor,II,Earthfill_Embankment ,10,1515,81100,664900,,561400,I,73
113,112,AP01MH0114,"Rao Cheruvu, Rajupalem",Andhra Pradesh Water Resources Department,"15° 9 ' 35""","78° 56 ' 31""",,Pennar,Sagileru,Badvel,II,Earthfill_Embankment ,16,460,0,5650000,1820000,5650000,I,113.83
114,113,AP01LH0115,Rayalacheruvu,Andhra Pradesh Water Resources Department,"13° 30 ' 33""","79° 22 ' 37""",,Pennar,Pennar,tadpatra,II,Earthfill_Embankment ,10,920,260000,2391350,2323000,1840000,I,21
115,114,AP01LH0116,Sankarayalapeta Tank,Andhra Pradesh Water Resources Department,"13° 13 ' 42""","78° 36 ' 28""",,East flowing rivers between Pennar and Cauvery Basin,Ghataprabha,punganura,II,Earthfill_Embankment ,13,2000,,4990800,2272500,4990800,I,
116,115,AP01LH0117,Seethacheru,Andhra Pradesh Water Resources Department,"13° 23 ' 52""","78° 49 ' 12""",1922,Pennar,godavari,addanki,II,Earthfill_Embankment ,11,1020,0,2427000,775480,2416000,I,104
117,116,AP01LH0118,Sreerangarayani cheruvu,Andhra Pradesh Water Resources Department,"14° 47 ' 9""","77° 42 ' 29""",,Pennar,ghatprabha,anantpur,II,Earthfill_Embankment ,11.71,2378.76,0,39240490,10712300,30185000,I,992
118,117,AP01LH0119,Swamy Tank,Andhra Pradesh Water Resources Department,"14° 59 ' 37""","79° 7 ' 13""",,East flowing rivers between Krishna and Pennar,pennar,S.R.Pur,II,Earthfill_Embankment ,11.58,375,0,1234000,,1234000,I,56.35
119,118,AP01LH0120,T.Sundupalli Tank,Andhra Pradesh Water Resources Department,"14° 50 ' 44""","78° 55 ' 42""",,Pennar,ghatprabha,Badvel,II,Earthfill_Embankment ,10,1100,0,1570000,520000,1570000,I,685
120,119,AP01MH0121,"Tajangi Reservoir, Tajangi (v)",Andhra Pradesh Water Resources Department,"17° 52 ' 13""","82° 29 ' 45""",,Godavari,Ghataprabha,Chintapalli,II,Earthfill_Embankment ,17.3,220,0,1360000,,1360000,I,12500
121,120,AP01LH0122,"Ura Tank, S.R. Puram",Andhra Pradesh Water Resources Department,"15° 0 ' 30""","79° 9 ' 0""",,East flowing rivers between Krishna and Pennar,pennar,S.R.Pur,II,Earthfill_Embankment ,13.86,869,0,1132000,,1132000,I,283
122,121,AP01LH0123,Virupana tank,Andhra Pradesh Water Resources Department,"14° 15 ' 0""","77° 48 ' 0""",,Pennar,ghatprabha,Sambalpur,II,Earthfill_Embankment ,12,589,0,4077626,,3426000,I,6.68
123,122,AP01LH0124,Y.T.cheruvu,Andhra Pradesh Water Resources Department,"15° 8 ' 56""","77° 32 ' 54""",,Pennar,ghatprabha,gooty,II,Earthfill_Embankment ,10,2078,0,12195880,5434650,9381000,I,226
124,123,AP01LH0125,Dharmavaram tank,Andhra Pradesh Water Resources Department,"14° 24 ' 0""","77° 44 ' 15""",,Pennar,Ghataprabha,Dharmavaram,II,Earthfill_Embankment ,11,6393,0,13720000,6480000,10560000,I,27402
125,124,AP01LH0126,Sir Aurther Cotton Barrage (Godavari Barrage),Andhra Pradesh Water Resources Department,"16° 56 ' 17""","81° 46 ' 27""",1982,Godavari,Godavari,Rajahmundry,II,Other,12.64,5837,0,82997000,19030000,60060,I,91400
126,125,AP01HH0127,Bahuda Reservoir,Andhra Pradesh Water Resources Department,"13° 33 ' 46""","78° 37 ' 41""",1974,Pennar,Bahuda,Madanapalle,II,Earthfill_Embankment ,31.77,792.48,0,14060000,,11270000,I,849.5
127,126,AP01MH0128,Chagallu Barrage,Andhra Pradesh Water Resources Department,"14° 55 ' 10""","77° 49 ' 45""",,Pennar,Pennar,tadpatra,II,Other,21.43,291.5,0,50940000,,,I,9712
128,127,AP01MH0129,Cheyyeru Project (Annamayya),Andhra Pradesh Water Resources Department,"14° 12 ' 49""","79° 1 ' 12""",2001,Pennar,cheyyeru,rajampet,II,Earthfill_Embankment ,25,409,653000,63160000,7600000,44890000,I,8069
129,128,AP01HH0130,Gorakallu Balancing Reservoir,Andhra Pradesh Water Resources Department,"15° 33 ' 55""","78° 24 ' 16""",,Pennar,Mallama selavagu,Nandyal,II,Other,48.5,1731,0,352052000,,291380000,I,848
130,129,AP01HH0132,Janjavati Reservoir,Andhra Pradesh Water Resources Department,"18° 51 ' 46""","83° 26 ' 4""",,East Flowing Rivers between Mahanadi and Godavari,Svarnamukhi Gomula,Parvathipuram,II,Earthfill_Embankment ,34,4370,2919000,96300000,9710000,78551000,I,3398
131,130,AP01HH0133,Kandaleru Balancing Reservoir,Andhra Pradesh Water Resources Department,"14° 20 ' 0""","79° 37 ' 0""",1996,East flowing rivers between Pennar and Cauvery Basin,khandaleru,rapur,III,Earthfill_Embankment ,49,10752,16720000,1926000000,142320000,1688000000,I/H,
132,131,AP01LH0134,"Kothacheru, Kotagandlapally",Andhra Pradesh Water Resources Department,"14° 11 ' 2""","77° 46 ' 18""",,Krishna,Lower Krishna,pargi,II,Earthfill_Embankment ,10.01,873,27830,2002200,82600,1401540,I,42
133,132,AP01MH0135,Mallemadugu,Andhra Pradesh Water Resources Department,"13° 40 ' 38""","79° 31 ' 27""",1959,East flowing rivers between Pennar and Cauvery Basin,Konakalva,Chandragiri,III,Earthfill_Embankment ,15,1334,0,7499000,,,I,2458
134,133,AP01LH0136,Musurmilli Reservoir,Andhra Pradesh Water Resources Department,"17° 22 ' 55""","81° 46 ' 12""",,Godavari,Seethapalli Vagu,rampa chodaram,II,Earthfill_Embankment ,13.8,624,0,13753000,22000,13218000,,
135,134,AP01HH0137,Musurmilli Reservoir,Andhra Pradesh Water Resources Department,"17° 22 ' 55""","81° 46 ' 12""",,Godavari,Seethapalli Vagu,rampa chodaram,II,Earthfill_Embankment ,33,1040,0,45310000,,,,2944
136,135,AP01MH0138,"N.T.R. Reservoir, Thatiparthi(V), Madugula(M)",Andhra Pradesh Water Resources Department,"17° 56 ' 13""","82° 46 ' 3""",,East Flowing Rivers between Mahanadi and Godavari,Tacheru,Chodavaram,II,Earthfill_Embankment ,24.51,1317,0,5770000,,5029000,I,16386
137,136,AP01MH0140,Peddagedda Reservoir,Andhra Pradesh Water Resources Department,"18° 28 ' 5""","83° 6 ' 6""",2007,East Flowing Rivers between Mahanadi and Godavari,Peddagedda,Salur,II,Earthfill_Embankment ,24,2430,0,30380000,,28911000,I,1395
138,137,AP01HH0141,Penna Ahobilam (Dr. K.S.P.A.B.R.),Andhra Pradesh Water Resources Department,"14° 47 ' 26""","77° 17 ' 57""",1994,Pennar,Pennar,Rayadurg,II,Other,46,2060,865000,314000000,27560000,305000000,I/H,4662
139,138,AP01HH0142,Pulichintala Project,Andhra Pradesh Water Resources Department,"16° 46 ' 15""","80° 3 ' 26""",,Krishna,Krishna,huzur nagar,III,Other,36.64,934,0,1295291000,,1026000000,I,57700
140,139,AP01LH0143,Sri Ramathirtham,Andhra Pradesh Water Resources Department,"15° 37 ' 52""","79° 47 ' 54""",,East flowing rivers between Krishna and Pennar,Ongole branch canal of N S P,Ongole,II,Earthfill_Embankment ,12.5,,0,0,,,,
141,140,AP01MH0144,Thotapally Barrage,Andhra Pradesh Water Resources Department,"18° 47 ' 5""","83° 29 ' 41""",1908,Godavari,Nagavali,thotapalli,II,Earthfill_Embankment ,23,,0,71050000,,,,3234
142,141,AP01MH0145,"Urakagedda Reservoir, Sankaram (V), Madugula(M)",Andhra Pradesh Water Resources Department,"17° 56 ' 22""","82° 43 ' 33""",,East Flowing Rivers between Mahanadi and Godavari,Ghataprabha,paderu,II,Earthfill_Embankment ,25,515,0,2160000,,2160000,I,15651
143,142,AP01LH0146,Vadiyalacheru,Andhra Pradesh Water Resources Department,"13° 18 ' 50""","78° 54 ' 28""",,East flowing rivers between Pennar and Cauvery Basin,Local stream,Chittoor,II,Earthfill_Embankment ,11.21,1450,72000,992000,346000,889000,I,380
144,143,AP01LH0147,Vanaka Badigedda,Andhra Pradesh Water Resources Department,"18° 53 ' 55""","83° 25 ' 8""",,East Flowing Rivers between Mahanadi and Godavari,Vanaka Badigedda,Komarada,II,Earthfill_Embankment ,13,630,1990,56317000,,,,
145,144,AP01MH0148,Varadharajuswami Gudi,Andhra Pradesh Water Resources Department,"15° 58 ' 30""","78° 38 ' 50""",,Krishna,Munimadugulavagu,Kurnool,II,Other,22,588,0,11020000,1324000,10210000,I,1025
146,145,AP01HH0149,Yeleru Reservoir,Andhra Pradesh Water Resources Department,"17° 18 ' 0""","82° 5 ' 30""",,East Flowing Rivers between Mahanadi and Godavari,Yeleru,Kakinada,II,Other,43,2544,5080000,682700000,59360000,508300000,I/S,8070
147,146,AP01MH0150,Velugodu Balancing Reservoir,Andhra Pradesh Water Resources Department,"15° 48 ' 0""","78° 34 ' 30""",,Pennar,Pennar,Atmakur,II,Earthfill_Embankment ,28,11640,0,16950000,46300000,16905000,I,1231.8
148,147,AP01HH0151,N.T.R. T.G.P-SPVB Reservoir,Andhra Pradesh Water Resources Department,"14° 48 ' 0""","78° 53 ' 0""",,Pennar,Vakkileru N,Cuddapah,II,Earthfill_Embankment ,50.5,6109,116540000,17735000,27340000,,I/S,
149,148,AP01MH0152,N.T.R. T.G.P-Subsidiary Reservoir no 2,Andhra Pradesh Water Resources Department,"14° 47 ' 25""","78° 47 ' 55""",,Pennar,Vakkileru N,Cuddapah,II,Earthfill_Embankment ,18,,0,69269000,5535000,,I/S,
150,149,AP01HH0153,Tenneti viswanadham Pedderu Reservoir,Andhra Pradesh Water Resources Department,"17° 53 ' 30""","82° 41 ' 0""",,Mahanadi,ghataprabha,Visakhapatnam,II,Other,36,900,0,13400000,,10140000,I,1630
151,150,AP01HH0131,Hiramandalam Reservoir,Andhra Pradesh Water Resources Department,,,,Area of Inland Drainage in Rajasthan,Ghataprabha,Sambalpur,,Earthfill_Embankment,,,,,,,,
152,151,AP01MH0154,Alaganur Balancing Reservoir,Andhra Pradesh Water Resources Department,"15° 42 ' 27""","78° 23 ' 14""",2004,Pennar,Kanika Vagu,Nandikotkur,II,Earthfill_Embankment ,22,7500,84000,13590,84000000000,,I,442
153,152,AP01MH0155,Shri Kotla Vijaya Bhaskara Reddy Barragesunkesula Barrage,Andhra Pradesh Water Resources Department,"15° 52 ' 49""","77° 51 ' 28""",2004,Krishna,Tungabhadra,Kurnool,II,Earthfill_Embankment ,17.18,630,,33975,5537630000,27184,I,14866
154,153,AP01MH0156,Kandla Obul Reddy Gundlakamma Reservoir Project,Andhra Pradesh Water Resources Department,"15° 41 ' 16""","76° 43 ' 44""",2013,East flowing rivers between Krishna and Pennar,Gundlakama,Ongole,II,Earthfill_Embankment ,23.34,327,80,109000,25700000000,69000,I/S,7702
155,154,AP01HH0157,Ps Velegonda Project Sunkesula Dam,Andhra Pradesh Water Resources Department,"15° 52 ' 51""","77° 49 ' 43""",2014,East flowing rivers between Krishna and Pennar,krishna,Marakapur,II,Earthfill_Embankment ,58.8,400,276540,1525000,69525000000,1231000,I/S,
156,155,AP01HH0158,Ps Velegonda Project Gotimukkala Dam,Andhra Pradesh Water Resources Department,"15° 57 ' 34""","79° 8 ' 13""",2009,East flowing rivers between Krishna and Pennar,krishna,Marakapur,II,Earthfill_Embankment ,70,575,976800,1525000,69525000000,1231000,I/S,
157,156,AP01HH0159,Ps Velegonda Project Kakarla Dam,Andhra Pradesh Water Resources Department,"15° 39 ' 30""","79° 10 ' 46""",2014,East flowing rivers between Krishna and Pennar,krishna,Marakapur,II,Earthfill_Embankment ,60,470,210000,1525000,69525000000,1231000,I/S,52.29
158,157,AP01HH0160,Chitravathi Balancing Reservoir,Andhra Pradesh Water Resources Department,"14° 33 ' 35""","77° 57 ' 35""",2008,Pennar,chitravathi,Ananthapur,II,Earthfill_Embankment ,36.5,846,189.97,289636,35807000000,288390,I,4080
159,158,AP01MH0161,Subbaraya Balancing Reservoir,Andhra Pradesh Water Resources Department,"14° 48 ' 54""","77° 53 ' 19""",1983,Pennar,Local Vagu,Ananthapur,II,Earthfill_Embankment ,27.4,970,64.22,11893,1433000000,11893,I,60
160,159,AP01MH0162,Mutchukota Balancing Reservoir,Andhra Pradesh Water Resources Department,"14° 49 ' 37""","77° 52 ' 16""",1983,Pennar,Local Vagu,Ananthapur,II,Earthfill_Embankment ,25,620,27.43,18915,2194000000,18915,I,82
161,160,AP01MH0163,Pendekallu Reservoir,Andhra Pradesh Water Resources Department,"14° 58 ' 4""","77° 52 ' 6""",,Pennar,Local Vagu,Anantapur,II,Earthfill_Embankment ,15,4774.3,707,18406,6010000000,18406,,874
162,161,AP01MH0164,Gotta Barrage,Andhra Pradesh Water Resources Department,"18° 41 ' 21""","83° 57 ' 44""",1977,East Flowing Rivers between Mahanadi and Godavari,vamsadhara,Hiramandalam,II,Earthfill_Embankment ,20.42,475.79,,17329,2770000000,,I,5947
163,162,AP01HH0165,Bhupathi Palam Reservoir,Andhra Pradesh Water Resources Department,"17° 26 ' 51""","81° 45 ' 56""",2011,Godavari,Seethapalli Vagu,Rampachodavaram,II,Earthfill_Embankment ,34.5,748,1126,18264366,3588000000,11468322,I,2314
164,163,AP01MH0166,Surempalem Reservoir Project,Andhra Pradesh Water Resources Department,"17° 30 ' 22""","81° 54 ' 17""",2006,Godavari,Burada kalva,Gokavaram,II,Earthfill_Embankment ,27.6,800,313.6,7050894,2249000000,7050894,I,52.29
165,164,AP01MH0167,Gogarbham Dam,Andhra Pradesh Water Resources Department,"13° 14 ' 29""","73° 21 ' 13""",1963,To Be Confirmed,Local,Tirupati,II,Earthfill_Embankment ,24.3,54,,1287.88,253710000,1219.69,S,
166,165,AP01MH0168,Akasaganga,Andhra Pradesh Water Resources Department,"13° 46 ' 6""","79° 20 ' 21""",2002,To Be Confirmed,Local,Tirupati,II,Earthfill_Embankment ,28,170,35,311.4,34550000,304.58,S,52.29
167,166,AP01HH0169,Kumaradhara Pushpadhara Dam,Andhra Pradesh Water Resources Department,"13° 43 ' 43""","79° 19 ' 30""",2011,To Be Confirmed,Odher,Tirupati,II,Earthfill_Embankment ,63.74,906.3,250,967,144630000,967,S,12500
168,1,AR16HH0001,Ranganadi Dam,Arunachal Pradesh Water Resources Department,"27° 20 ' 34""","93° 49 ' 2""",2002,Brahmaputra,Ranganadi panior river,Itanagar,V,Other,68,344.75,410467,6170000,1600000,4220000,H,9175
169,2,AR16HH0002,Bichom Dam,Arunachal Pradesh Water Resources Department,"27° 18 ' 29""","90° 37 ' 22""",,Brahmaputra,Bichom,Tejpur.,V,Other,69,264.15,355000,25030000,25000000,5718000,H,9216
170,3,AR16MH0003,Tenga Dam,Arunachal Pradesh Water Resources Department,"27° 13 ' 25""","92° 39 ' 28""",,Brahmaputra,tenga,Tejpur.,V,Other,24.5,103,90000,500000,40500,340000,H,3802
171,4,AR16HH0004,Pare Dam,Arunachal Pradesh Water Resources Department,"27° 14 ' 23""","93° 48 ' 41""",,Brahmaputra,pare,Lakhimpur.,V,Other,63,134.275,185000,19425000,1116000000,5200000,H,5000
172,1,AS48HH0002,KHANDONG DAM ( Khangdong Power Station),Assam Water Resources Department,"25° 31 ' 42""","92° 37 ' 58""",1984,Brahmaputra,Kopili,Shillong,V,Other,66,243,278150,166800000,13360000,129500000,H,15417.3
173,2,AS48HH0003,Station),-,"25° 31 ' 42""","92° 42 ' 45""",1988,Brahmaputra,umrong nalla,Shillong,V,Other,30,143.27,56430,78500000,1318000000,55500000,H,555
174,3,AS47HH0004,Hatidubi Concrete dam,-,"25° 54 ' 46""","92° 29 ' 57""",2007,Brahmaputra,Borpani,Guwahati,V,Other,35,197,159200,,,,H,9950
175,4,AS30HH0005,SUBANSIRI LOWER DAM,National Hydroelectric Power Corporation,"27° 33 ' 15""","94° 15 ' 30""",,Brahmaputra,Subansiri,Dhemaji,V,Other,130,284,2250000,1365000000,33500000,440000000,H,37500
176,1,BR02MH0001,KHARAGPUR LAKE,Bihar Water Resources Department,"25° 8 ' 9""","86° 31 ' 30""",1876,Ganga,Mani,Munger,IV,Earthfill_Embankment ,26.53,221.04,,16510000,3840000,16280000,I,850
177,2,BR02MH0002,NAGI,Bihar Water Resources Department,"24° 49 ' 15""","86° 23 ' 59""",1968,Ganga,Nagi.,Munger,IV,Earthfill_Embankment ,24.02,1884,,10800000,4250000,9300000,I,283.28
178,3,BR02MH0003,KOHIRA,Bihar Water Resources Department,"24° 58 ' 51""","83° 29 ' 27""",1962,Ganga,Kohira.,Bhabua,III,Earthfill_Embankment ,24.06,236.91,,28330000,5260000,27440000,I,736
179,4,BR02MH0004,AMRITY,Bihar Water Resources Department,"24° 53 ' 21""","86° 6 ' 8""",1965,Ganga,Amrity.,Jamui,IV,Earthfill_Embankment ,16.65,166.15,,4920000,166000,4348000,I,110
180,5,BR02HH0005,BADUA,Bihar Water Resources Department,"24° 53 ' 16""","86° 38 ' 45""",1965,Ganga,Badua.,Bhagalpur,IV,Earthfill_Embankment ,56.66,457.32,,128340000,11335000,109830000,I,2833.86
181,6,BR02MH0006,SRIKHANDI,Bihar Water Resources Department,"24° 53 ' 33""","86° 5 ' 24""",1965,Ganga,Srikhandi.,Jamui,IV,Earthfill_Embankment ,16.65,205.8,,4920000,166000,4348000,I,110
182,7,BR02MH0007,KOLMAHADEO,Bihar Water Resources Department,"24° 42 ' 40""","85° 39 ' 42""",1966,Ganga,Kolmahadeo.,Nawada,III,Earthfill_Embankment ,25.2,152,,5700000,570000,4700000,I,128
183,8,BR02HH0008,CHANDAN,Bihar Water Resources Department,"24° 40 ' 32""","86° 55 ' 21""",1968,Ganga,Chandan.,Bounsi,III,Earthfill_Embankment ,49.38,1555,,157230000,10810000,135740000,I,3115
184,9,BR02MH0009,JALKUND,Bihar Water Resources Department,"25° 14 ' 6""","86° 32 ' 9""",1968,Ganga,Jalkund.,Munger,IV,Earthfill_Embankment ,15.99,631.1,,3085000,690300,2776500,I,148.75
185,10,BR02HH0010,MORWAY,Bihar Water Resources Department,"25° 7 ' 57""","86° 13 ' 9""",1969,Ganga,Morway.,Munger,IV,Earthfill_Embankment ,33.42,533.53,,14570000,16200000,12370000,I,709
186,11,BR02MH0011,SATGHARWA (N.F),Bihar Water Resources Department,"24° 43 ' 41""","85° 0 ' 47""",1976,Ganga,Satgharwa,Munger,IV,Earthfill_Embankment ,19.21,266.72,,1830000,360000,1695000,I,106
187,12,BR02MH0012,JOB,Bihar Water Resources Department,"24° 40 ' 48""","85° 33 ' 56""",1978,Ganga,Job.,Nawada,III,Earthfill_Embankment ,36.6,1616,,12000000,2130000,11000000,I,425
188,13,BR02HH0013,KAILASH GHATI,Bihar Water Resources Department,"24° 53 ' 36""","85° 55 ' 32""",1980,Ganga,Kailash Ghati.,Jamui,IV,Earthfill_Embankment ,31.5,183,,3571000,1020000,3152000,I,127.18
189,14,BR02MH0014,NAKTI,Bihar Water Resources Department,"24° 51 ' 11""","86° 26 ' 36""",1980,Ganga,Nakti.,Munger,IV,Earthfill_Embankment ,24.99,990.85,,13970000,3640000,12870000,I,490.25
190,15,BR02MH0015,TARACOL (N.F),Bihar Water Resources Department,"24° 50 ' 10""","85° 59 ' 44""",1980,Ganga,Tarakol,Jamui,III,Earthfill_Embankment ,23.155,106.67,,1049100,1092000,979000,I,70.67
191,16,BR02MH0016,BASKUND,Bihar Water Resources Department,"25° 4 ' 6""","86° 13 ' 0""",1984,Ganga,Baskund.,Jamui,IV,Earthfill_Embankment ,17.68,67.07,,1230000,600000,928000,I,231.24
192,17,BR02MH0017,UPPER BADUA (N.F),Bihar Water Resources Department,"24° 53 ' 14""","86° 38 ' 45""",1985,Ganga,Badua.,Banka,IV,Earthfill_Embankment ,16.92,1745,,4520000,1063000,4260000,I,200
193,18,BR02HH0018,BELHARNA,Bihar Water Resources Department,"24° 51 ' 10""","86° 33 ' 39""",1987,Ganga,Belharna.,Bhagalpur,IV,Earthfill_Embankment ,30.1,411.58,,15560000,2680000,14570000,I,425
194,19,BR02HH0019,PHULWARIA,Bihar Water Resources Department,"24° 35 ' 46""","85° 29 ' 34""",1988,Ganga,Tilaiya.,Nawada,III,Earthfill_Embankment ,32.98,1135,,59340000,9635600,50740000,I,1136
195,20,BR02HH0020,ANJAN,Bihar Water Resources Department,"25° 2 ' 2""","86° 17 ' 44""",1989,Ganga,Anjan.,Jamui,IV,Earthfill_Embankment ,39.02,518.3,,26680000,3440000,24710000,I,878
196,21,BR02HH0022,ORHNI,Bihar Water Resources Department,"24° 49 ' 25""","86° 48 ' 44""",2000,Ganga,Orhni.,Banka,IV,Earthfill_Embankment ,32,686,,51560000,2024000,44590000,I,1167
197,22,BR02MH0023,BILASHI,Bihar Water Resources Department,"24° 56 ' 2""","86° 51 ' 17""",2001,Ganga,Bilasi.,Banka,IV,Earthfill_Embankment ,31.4,168.29,,32570000,5830300,28870000,I,492
198,23,BR02HH0024,UPPER KIUL,Bihar Water Resources Department,"24° 48 ' 34""","86° 4 ' 16""",2004,Ganga,Kiul.,Jamui,IV,Earthfill_Embankment ,35.58,3673,,98103000,12303000,84529000,I,3400
199,24,BR02HH0025,BARNAR,Bihar Water Resources Department,"24° 37 ' 25""","86° 19 ' 27""",,Ganga,Barnar.,Jamui,III,Other,76.75,282.7,,80210000,3750000,70770000,I,3256
200,25,BR02HH0026,DURGAWATI,Bihar Water Resources Department,"24° 50 ' 46""","83° 43 ' 23""",2014,Ganga,Durgawati.,Bhabua,III,Earthfill_Embankment ,46.3,1615.4,,287700000,23413000,257500000,I,3818
201,26,BR02MH0028,SINDHWARNI,Bihar Water Resources Department,"25° 7 ' 51""","86° 37 ' 30""",,Ganga,Mani,Munger,IV,Earthfill_Embankment ,22.56,125.58,,50060000,7000000,34260000,I,864.51
202,1,CG03LH0001,KHAPRI TANK,Chhattisgarh Water Resources Department,"21° 0 ' 48""","81° 21 ' 25""",1908,Mahanadi,Local nalla,Durg,II,Earthfill_Embankment ,11.11,2410,0,13020000,4720000,11570000,I,337
203,2,CG03LH0002,KURUD,Chhattisgarh Water Resources Department,"21° 15 ' 52""","81° 47 ' 40""",1909,Mahanadi,local,Raipur,II,Earthfill_Embankment ,10.21,1981,0,26280000,105000,5710000,I,149
204,3,CG03LH0003,PINDRAWAN TANK,Chhattisgarh Water Resources Department,"21° 16 ' 49""","81° 35 ' 33""",1909,Mahanadi,kulhan nalla,Raipur,II,Earthfill_Embankment ,10.82,2012,0,10740000,419000,10610000,I,237
